ID,Region,Cultivar,Leaf_N_stage2_g_kg,Leaf_P_stage2_g_kg,Leaf_K_stage2_g_kg,Leaf_Mg_stage2_g_kg,Leaf_Ca_stage2_g_kg,Leaf_B_stage2_g_kg,Leaf_Cu_stage2_g_kg,Leaf_Zn_stage2_g_kg,Leaf_Mn_stage2_g_kg,Leaf_Fe_stage2_g_kg,Fruit_yield_Mg_ha,Yield class
2000_024,Quebec,Stevens,11,1.4,6.7,1.9,9.5,0.041,0.00447,0.0206,0.195,0.127,33.01,Low yield
2000_025,Quebec,Stevens,13,1.4,2.2,6.4,13.3,0.0381,0.00394,0.0215,0.248,0.163,13.73,Low yield
2000_026,Quebec,Stevens,12,1.2,6,1.8,9.2,0.0527,0.00359,0.0191,0.2,0.103,41.73,High yield
2000_027,Quebec,Stevens,12,1.4,5.7,1.9,11.5,0.0362,0.00347,0.0236,0.235,0.233,41.4,High yield
2000_028,Quebec,Stevens,14,1.4,2.3,6,13.2,0.0343,0.00457,0.023,0.186,0.182,19.09,Low yield
2000_029,Quebec,Stevens,12,1.2,6.5,1.7,9.2,0.0467,0.00418,0.0183,0.169,0.111,43.05,High yield
2000_030,Quebec,Stevens,14,1.6,6.6,1.9,11.6,0.0317,0.00405,0.0217,0.254,0.172,43.5,High yield
2000_031,Quebec,Stevens,12,1.4,6.7,1.7,11,0.0353,0.00384,0.0213,0.221,0.262,34.26,Low yield
2000_032,Quebec,Stevens,14,1.5,2.2,5.6,14.2,0.0395,0.00416,0.0206,0.222,0.194,10.3,Low yield
2000_033,Quebec,Stevens,13,1.5,7.1,1.7,10,0.0324,0.00409,0.0206,0.187,0.211,42.24,High yield
2000_034,Quebec,Stevens,14,1.5,2.4,5.4,13.7,0.0384,0.00423,0.0196,0.233,0.209,26.33,Low yield
2000_035,Quebec,Stevens,12,1.3,4.7,2.2,10.6,0.0379,0.00395,0.16,0.817,0.0594,46.8,High yield
2000_036,Quebec,Stevens,14,1.5,2.6,5.6,11,0.0527,0.00368,0.0264,0.392,0.0746,22.03,Low yield
2000_037,Quebec,Stevens,11,1.4,6,2,7.8,0.0404,0.00453,0.0231,0.392,0.0665,40,Low yield
2000_038,Quebec,Stevens,12,1.6,5.2,2.2,11.3,0.0377,0.00453,0.0246,0.819,0.0591,49.82,High yield
2000_039,Quebec,Stevens,14,1.5,2.6,5.8,11.1,0.0555,0.0038,0.0299,0.312,0.0764,25.66,Low yield
2000_040,Quebec,Stevens,11,1.3,5.3,2.2,8.2,0.0398,0.00447,0.023,0.338,0.0542,35.85,Low yield
2000_041,Quebec,Stevens,12,1.2,4.8,2.3,10.9,0.0399,0.00424,0.024,0.775,0.0631,56.37,High yield
2000_042,Quebec,Stevens,14,1.4,2.4,5.3,10.1,0.0807,0.00373,0.0234,0.49,0.151,30.72,Low yield
2000_043,Quebec,Stevens,10,1.3,5.8,2,7.8,0.0389,0.00431,0.0217,0.486,0.0629,33.51,Low yield
2000_044,Quebec,Stevens,14,1.2,2.5,5.6,10.6,0.0616,0.00393,0.0268,0.406,0.0787,33.03,Low yield
2000_045,Quebec,Stevens,11,1.2,5.5,1.9,8,0.0449,0.00571,0.0249,0.56,0.0591,40.03,High yield
2000_046,Quebec,Stevens,12,1.2,5.1,2.1,8.6,0.0335,0.0041,0.0223,0.868,0.0549,50.96,High yield
2000_047,Quebec,Stevens,12,1.3,5.1,2.1,9.7,0.0419,0.00416,0.0205,0.709,0.0682,56.64,High yield
2000_048,Quebec,Stevens,10,1.4,5.9,1.9,7.3,0.0368,0.00478,0.0207,0.684,0.0649,29.15,Low yield
2000_049,Quebec,Stevens,14,1.5,2.4,5.5,10.7,0.0514,0.0035,0.0261,0.659,0.0958,32.39,Low yield
2000_050,Quebec,Stevens,10,1.2,5.9,1.8,7.4,0.0353,0.00465,0.0212,0.638,0.0608,29.46,Low yield
2000_051,Quebec,Stevens,18,1.2,2.3,5.8,10.6,0.0521,0.00396,0.025,0.547,0.105,36.1,Low yield
2000_052,Quebec,Stevens,14,1.3,5.1,1.9,7.9,0.0341,0.00409,0.0221,0.807,0.056,48.33,High yield
2000_053,Quebec,Stevens,11,1.2,5.8,1.8,7.4,0.0343,0.00477,0.0216,0.716,0.0619,31.63,Low yield
2000_054,Quebec,Stevens,13,1.1,2.3,5.2,10.6,0.0511,0.00372,0.0279,0.568,0.108,32.15,Low yield
2000_055,Quebec,Stevens,12,1.2,5,1.9,7.9,0.0328,0.00433,0.0233,0.703,0.0523,51,High yield
2000_056,Quebec,Stevens,15,1.3,2.2,5.8,11,0.0501,0.00406,0.0272,0.634,0.0911,34.04,Low yield
2000_057,Quebec,Stevens,10,1.4,5.7,1.9,8.2,0.0345,0.00509,0.0228,0.787,0.0581,40.52,High yield
2000_058,Quebec,Stevens,14,1.5,5.3,1.9,7.6,0.04,0.00431,0.0287,0.48,0.0638,53.4,High yield
2000_059,Quebec,Stevens,10,1.3,6.2,1.7,7,0.0451,0.00459,0.022,0.587,0.0568,31.35,Low yield
2000_060,Quebec,Stevens,14,1.4,2.2,5.2,9.6,0.0572,0.00357,0.0258,0.417,0.0826,32.11,Low yield
2000_061,Quebec,Stevens,13,1.5,5.2,1.9,8.1,0.0309,0.0154,0.0315,0.714,0.0618,57.49,High yield
2000_062,Quebec,Stevens,12,1.3,5.1,1.9,8.3,0.0418,0.00503,0.0298,0.71,0.0643,52.84,High yield
2000_063,Quebec,Stevens,14,1.4,2.2,5.6,10,0.0539,0.00344,0.0236,0.421,0.0714,29.16,Low yield
2000_064,Quebec,Stevens,11,1.4,6.2,1.8,7.4,0.0432,0.00472,0.0227,0.622,0.0594,32.06,Low yield
2000_065,Quebec,Stevens,15,1.5,5.4,1.9,8.5,0.0516,0.00436,0.0277,0.718,0.0647,66.1,High yield
2000_066,Quebec,Stevens,11,1.4,6.8,1.7,7.1,0.044,0.00439,0.0194,0.568,0.0866,29.72,Low yield
2000_067,Quebec,Stevens,13,1.4,2.6,5.3,11,0.0551,0.00357,0.0286,0.455,0.102,30.72,Low yield
2000_068,Quebec,Stevens,15,1.4,2.1,6.3,9.8,0.0773,0.00381,0.0257,0.555,0.087,29.23,Low yield
2000_069,Quebec,Stevens,11,1.3,6.2,1.7,7.5,0.0426,0.00448,0.0222,0.662,0.0644,38.33,Low yield
2000_070,Quebec,Stevens,14,1.6,4.7,2,11.1,0.0487,0.00402,0.0315,0.947,0.063,59.17,High yield
2000_071,Quebec,Stevens,14,1.3,2,7.7,13,0.0331,0.00545,0.0309,0.733,0.0751,13.3,Low yield
2000_072,Quebec,Stevens,14,1.3,6.7,1.6,9.3,0.0389,0.00568,0.0325,1.32,0.0713,28.36,Low yield
2000_073,Quebec,Stevens,12,1.2,5.6,1.8,11.6,0.0365,0.00677,0.0404,1.19,0.0865,33.95,Low yield
2000_074,Quebec,Stevens,14,1.2,1.9,7.1,12.2,0.0322,0.00422,0.03,0.61,0.06,14.74,Low yield
2000_075,Quebec,Stevens,12,1.1,5.2,1.7,11.7,0.0349,0.00514,0.0351,1.14,0.0885,31,Low yield
2000_076,Quebec,Stevens,13,1.2,7.4,1.8,9.5,0.0391,0.00674,0.0297,1.35,0.0776,24.15,Low yield
2000_077,Quebec,Stevens,14,1.2,2,7.6,11.7,0.03,0.00444,0.0316,0.707,0.0612,14.94,Low yield
2000_078,Quebec,Stevens,12,1.2,5.6,1.7,11,0.0332,0.00514,0.0386,1.33,0.0812,37.49,Low yield
2000_079,Quebec,Stevens,14,1.3,6.4,1.7,11,0.0496,0.0068,0.0328,1.1,0.102,25.67,Low yield
2000_080,Quebec,Stevens,13,1.1,6.7,1.7,10.4,0.0457,0.00707,0.0306,1.2,0.0878,25.97,Low yield
2000_081,Quebec,Stevens,14,1.1,1.8,8.1,12.2,0.0368,0.00423,0.0294,0.525,0.0556,13.78,Low yield
2000_082,Quebec,Stevens,11,1.1,5.5,1.6,11.3,0.0374,0.00481,0.0328,1.05,0.0724,48.29,High yield
2000_083,Quebec,Stevens,14,1,1.8,6.8,11.7,0.0328,0.00405,0.053,0.579,0.0583,15.38,Low yield
2000_084,Quebec,Stevens,12,1,5.6,1.6,10.7,0.0339,0.00519,0.0339,0.994,0.0701,41.89,High yield
2000_085,Quebec,Stevens,13,1.3,6.5,1.7,10.6,0.0464,0.00784,0.034,1.15,0.119,27.4,Low yield
2000_086,Quebec,Stevens,14,1.4,7.5,1.6,9.4,0.0388,0.00651,0.0309,1.26,0.0811,22.73,Low yield
2000_087,Quebec,Stevens,14,1.1,1.6,8.2,11.4,0.0408,0.00488,0.0285,0.42,0.0779,11.72,Low yield
2000_088,Quebec,Stevens,11,1,5.7,1.6,12.3,0.042,0.00467,0.0304,0.792,0.0645,40.62,High yield
2000_089,Quebec,Stevens,14,0.9,1.7,7.3,11.1,0.0334,0.00465,0.0264,0.528,0.0469,12.39,Low yield
2000_090,Quebec,Stevens,12,1,5.8,1.5,10.7,0.0392,0.0049,0.0294,1.02,0.143,35.44,Low yield
2000_091,Quebec,Stevens,14,1.5,7,1.6,10,0.0342,0.007,0.0342,1.27,0.0995,29.03,Low yield
2000_092,Quebec,Stevens,13,1.1,6.7,1.6,9.7,0.0404,0.00835,0.0262,1.27,0.094,27.9,Low yield
2000_093,Quebec,Stevens,13,1,1.8,7.1,12.5,0.0391,0.00396,0.0266,0.436,0.0501,13.37,Low yield
2000_094,Quebec,Stevens,12,1.1,5.4,1.6,12.3,0.0385,0.00468,0.0311,0.87,0.079,37.73,Low yield
2000_095,Quebec,Stevens,13,1.3,8.3,1.7,10.2,0.0398,0.00659,0.0307,1.08,0.0799,30.93,Low yield
2000_096,Quebec,Stevens,15,1.4,1.9,7.5,11.7,0.0323,0.00453,0.0553,0.642,0.13,18.34,Low yield
2000_097,Quebec,Stevens,12,1.2,5.5,1.5,10.9,0.0347,0.00529,0.0344,1.26,0.0726,42.02,High yield
2000_098,Quebec,Stevens,13,1,1.7,7.3,11.7,0.032,0.00355,0.0252,0.47,0.0541,13.66,Low yield
2000_099,Quebec,Stevens,12,1,5.3,1.5,11.4,0.0384,0.00453,0.0323,1.02,0.0701,39.43,Low yield
2000_100,Quebec,Stevens,13,1.3,7,1.6,10.5,0.0394,0.00712,0.0304,1.22,0.0873,24.63,Low yield
2000_101,Quebec,Stevens,14,1,1.8,7,11.4,0.0277,0.00425,0.0293,0.636,0.0687,15.95,Low yield
2000_102,Quebec,Stevens,14,1.3,7,1.5,10.2,0.0431,0.00717,0.0283,0.994,0.083,30.63,Low yield
2000_103,Quebec,Stevens,12,1.1,5.4,1.7,11.2,0.0328,0.00451,0.0358,1.23,0.072,45.52,High yield
2000_104,Quebec,Stevens,14,1.1,1.8,7.3,12.2,0.0342,0.00415,0.0319,0.544,0.0584,16.89,Low yield
2000_105,Quebec,Stevens,14,1.3,7.5,1.6,10.3,0.0379,0.00663,0.0293,0.337,0.071,25.12,Low yield
2000_106,Quebec,Stevens,11,1,5.2,1.6,10.7,0.0346,0.00471,0.0308,0.903,0.0697,36.76,Low yield
2000_107,Quebec,Stevens,11,1,6.7,1.6,7.7,0.0285,0.00341,0.0208,0.109,0.241,17.16,Low yield
2000_108,Quebec,Stevens,10,1.1,5.4,1.7,7.6,0.0192,0.00321,0.0138,0.0894,0.232,33.79,Low yield
2000_109,Quebec,Stevens,12,1.3,6.9,1.5,6.7,0.0223,0.00294,0.0171,0.13,0.255,14.37,Low yield
2000_110,Quebec,Stevens,11,1,5.6,1.6,8,0.0188,0.00316,0.0152,0.112,0.226,27.11,Low yield
2000_111,Quebec,Stevens,11,1.1,5.5,1.7,9,0.0207,0.00368,0.0167,0.109,0.265,28.75,Low yield
2000_112,Quebec,Stevens,12,1.2,7,1.4,6.7,0.0267,0.00315,0.0202,0.112,0.249,15.38,Low yield
2000_113,Quebec,Stevens,10,1,5.9,1.5,7.8,0.0213,0.00351,0.0141,0.105,0.235,30.56,Low yield
2000_114,Quebec,Stevens,11,1.1,6.3,1.6,7.5,0.0262,0.00327,0.0169,0.0957,0.207,8.26,Low yield
2000_115,Quebec,Stevens,11,1.1,6.7,1.3,6.1,0.0207,0.00307,0.0161,0.0854,0.188,17.03,Low yield
2000_116,Quebec,Stevens,10,1.1,5.6,1.7,8.1,0.0212,0.00348,0.016,0.0942,0.242,30.39,Low yield
2000_117,Quebec,Stevens,10,1,5.7,1.6,7.4,0.0197,0.00396,0.0145,0.0867,0.233,31.87,Low yield
2000_118,Quebec,Stevens,11,1.1,6.6,1.5,7.6,0.0252,0.00317,0.0205,0.101,0.178,16.93,Low yield
2000_119,Quebec,Stevens,11,0.9,6.9,1.5,6.7,0.0233,0.00301,0.0165,0.124,0.171,16.09,Low yield
2000_120,Quebec,Stevens,11,1,5.8,1.5,7.2,0.0175,0.00295,0.0146,0.11,0.237,30.62,Low yield
2000_121,Quebec,Stevens,12,1.1,6.7,1.5,7.9,0.0228,0.00305,0.0207,0.142,0.222,16.62,Low yield
2000_122,Quebec,Stevens,10,1,6,1.6,7.5,0.0198,0.00297,0.0156,0.108,0.229,29.55,Low yield
2000_123,Quebec,Stevens,10,1.1,5.9,1.8,8.2,0.0228,0.00378,0.0191,0.134,0.24,37.71,Low yield
2000_124,Quebec,Stevens,10,0.9,6.5,1.5,6.6,0.0286,0.00284,0.0164,0.12,0.193,16.35,Low yield
2000_125,Quebec,Stevens,11,1,6.5,1.5,7.5,0.0277,0.00314,0.0203,0.135,0.182,14.66,Low yield
2000_126,Quebec,Stevens,11,1.2,6.2,1.7,8.7,0.0191,0.00347,0.0192,0.156,0.257,28.84,Low yield
2000_127,Quebec,Stevens,11,1.2,6.9,1.4,6.7,0.027,0.00283,0.0159,0.0861,0.262,14.6,Low yield
2000_128,Quebec,Stevens,10,1.1,5.9,1.7,8.1,0.02,0.00362,0.0199,0.124,0.258,35.48,Low yield
2000_129,Quebec,Stevens,11,1.2,6.4,1.5,7.8,0.0346,0.00522,0.0207,0.0857,0.25,12.04,Low yield
2000_130,Quebec,Stevens,10,1.1,5.8,1.6,7.9,0.0177,0.00351,0.0178,0.118,0.275,22.93,Low yield
2000_131,Quebec,Stevens,15,1.1,1.8,6.8,9.9,0.0274,0.0067,0.0225,0.339,0.0777,23.51,Low yield
2000_132,Quebec,Stevens,12,1.1,5.7,1.7,9.2,0.0252,0.00332,0.0229,0.416,0.0707,45.38,High yield
2000_133,Quebec,Stevens,12,1.2,6,1.6,7.3,0.0382,0.00325,0.026,0.393,0.0964,24.51,Low yield
2000_134,Quebec,Stevens,12,1.2,6.5,1.7,7.7,0.048,0.00396,0.0316,0.452,0.126,26.27,Low yield
2000_135,Quebec,Stevens,13,1.1,1.7,6.4,10.2,0.0284,0.00454,0.0219,0.327,0.0664,21.7,Low yield
2000_136,Quebec,Stevens,11,1,5.6,1.7,8.9,0.0292,0.00322,0.0223,0.448,0.0677,49.7,High yield
2000_137,Quebec,Stevens,12,1,5.6,1.7,8.3,0.0539,0.00362,0.0343,0.798,0.145,34.48,Low yield
2000_138,Quebec,Stevens,14,1.1,1.7,7.5,9.2,0.0232,0.00509,0.0202,0.418,0.0659,16.72,Low yield
2000_139,Quebec,Stevens,11,1.1,4.9,1.7,9.4,0.0266,0.00296,0.0206,0.54,0.0598,44.67,High yield
2000_140,Quebec,Stevens,12,1.1,5.5,1.7,8.2,0.0494,0.00322,0.0312,0.78,0.124,31.36,Low yield
2000_141,Quebec,Stevens,13,1.1,1.6,7.3,9.5,0.0267,0.00453,0.0213,0.338,0.0669,17.08,Low yield
2000_142,Quebec,Stevens,11,1.1,5.6,1.7,8.8,0.0296,0.00351,0.0218,0.417,0.0603,52.98,High yield
2000_143,Quebec,Stevens,14,0.9,1.6,7,9.6,0.0215,0.00368,0.0183,0.367,0.0756,19.4,Low yield
2000_144,Quebec,Stevens,10,0.9,4.6,1.7,9.8,0.024,0.00321,0.0212,0.454,0.0662,46.51,High yield
2000_145,Quebec,Stevens,12,1.1,5.9,1.7,8.1,0.0461,0.00383,0.0323,0.652,0.114,28.46,Low yield
2000_146,Quebec,Stevens,13,0.9,1.5,7.4,8.3,0.0205,0.00412,0.0184,0.35,0.0714,19.25,Low yield
2000_147,Quebec,Stevens,11,0.9,5.2,1.6,9,0.0254,0.00373,0.0219,0.445,0.0639,42.83,High yield
2000_148,Quebec,Stevens,12,1.1,6.2,1.6,6.8,0.0386,0.00326,0.031,0.506,0.113,25.56,Low yield
2000_149,Quebec,Stevens,14,1,1.7,6.7,10.3,0.0248,0.00332,0.0179,0.308,0.0803,15.79,Low yield
2000_150,Quebec,Stevens,10,0.9,4.2,1.7,10.9,0.0287,0.00362,0.0222,0.493,0.0713,50.08,High yield
2000_151,Quebec,Stevens,12,1.1,5.8,1.6,7.7,0.0408,0.00394,0.0259,0.774,0.0916,21.77,Low yield
2000_152,Quebec,Stevens,12,1.1,5.7,1.6,8.1,0.0416,0.00411,0.0353,0.79,0.0905,25.18,Low yield
2000_153,Quebec,Stevens,13,1.1,1.8,6.4,11.1,0.0293,0.00362,0.0197,0.344,0.0705,21.15,Low yield
2000_154,Quebec,Stevens,12,1.1,5.3,1.5,9.1,0.0255,0.00336,0.019,0.46,0.0616,42.73,High yield
2000_155,Quebec,Stevens,11,0.9,5.7,1.5,6.9,0.0403,0.00343,0.133,0.912,0.127,20.69,Low yield
2000_156,Quebec,Stevens,13,1.1,1.7,6.9,9.9,0.0291,0.00333,0.0195,0.387,0.0839,17.64,Low yield
2000_157,Quebec,Stevens,11,1.1,5,1.7,9.4,0.0236,0.00331,0.0196,0.505,0.0735,50.33,High yield
2000_158,Quebec,Stevens,14,1.1,1.6,8.2,9.4,0.0214,0.00397,0.0217,0.37,0.0819,15.58,Low yield
2000_159,Quebec,Stevens,11,1.1,5.4,1.7,9.9,0.0262,0.0034,0.0226,0.553,0.0768,58.1,High yield
2000_160,Quebec,Stevens,11,1,5.6,1.6,7.3,0.042,0.00309,0.0256,0.869,0.098,13.09,Low yield
2000_161,Quebec,Stevens,13,1.3,1.7,7.6,9.6,0.02,0.00373,0.0216,0.391,0.0952,15.7,Low yield
2000_162,Quebec,Stevens,12,1.1,6,1.6,7.6,0.0373,0.00314,0.0302,0.816,0.129,21.01,Low yield
2000_163,Quebec,Stevens,11,1.1,4.7,1.8,10.1,0.0256,0.00352,0.0241,0.744,0.11,54.5,High yield
2000_164,Quebec,Stevens,14,1.1,1.6,8,9.1,0.0193,0.00397,0.0282,0.367,0.0983,15.03,Low yield
2000_165,Quebec,Stevens,11,1.1,5.2,1.7,9.2,0.0234,0.00373,0.0239,0.727,0.0976,48.01,High yield
2000_166,Quebec,Stevens,12,1.1,6.3,1.5,7.2,0.0374,0.00333,0.028,0.769,0.0976,16.85,Low yield
2000_167,Quebec,Stevens,12,1.5,7,1.6,4.7,0.0101,0.00337,0.0139,0.13,0.0456,12.06,Low yield
2000_168,Quebec,Stevens,11,0.9,1.2,6.4,5.8,0.0179,0.0022,0.0217,0.114,0.269,14.94,Low yield
2000_169,Quebec,Stevens,9,1.1,6,1.5,5.2,0.0198,0.00266,0.0157,0.364,0.201,18.37,Low yield
2000_170,Quebec,Stevens,11,1,1.3,6.1,6.3,0.0197,0.00318,0.00891,0.108,0.177,16.35,Low yield
2000_171,Quebec,Stevens,10,1.1,6.1,1.4,4.3,0.012,0.00302,0.0126,0.226,0.107,27.39,Low yield
2000_172,Quebec,Stevens,12,1.3,6.4,1.6,5.1,0.0101,0.00305,0.0124,0.108,0.0457,14.29,Low yield
2000_173,Quebec,Stevens,10,0.9,1.2,5.7,6.4,0.0201,0.00325,0.0101,0.116,0.29,13.8,Low yield
2000_174,Quebec,Stevens,9,1,6.1,1.4,5.2,0.0168,0.00332,0.0128,0.241,0.197,20.48,Low yield
2000_175,Quebec,Stevens,12,1.3,6.7,1.7,5.2,0.0085,0.00413,0.0143,0.175,0.0557,12.58,Low yield
2000_176,Quebec,Stevens,11,1.2,6.7,1.6,5.3,0.0122,0.0043,0.0142,0.116,0.0555,18.94,Low yield
2000_177,Quebec,Stevens,11,1,1.4,5.4,7.3,0.0204,0.00275,0.0103,0.127,0.248,14.01,Low yield
2000_178,Quebec,Stevens,10,1,5.8,1.5,5.5,0.0168,0.00391,0.0141,0.372,0.115,29.18,Low yield
2000_179,Quebec,Stevens,12,1,1.3,6.1,6,0.0205,0.00452,0.00944,0.142,0.238,14,Low yield
2000_180,Quebec,Stevens,9,0.9,5.6,1.2,4.5,0.0171,0.00339,0.0103,0.218,0.195,21.78,Low yield
2000_181,Quebec,Stevens,12,1.2,6.9,1.4,3.6,0.008,0.00394,0.012,0.12,0.0468,8.08,Low yield
2000_182,Quebec,Stevens,11,1,5.9,1.4,4.2,0.0056,0.0037,0.0113,0.093,0.0847,13.9,Low yield
2000_183,Quebec,Stevens,11,1.1,1.5,6,6.9,0.0244,0.00277,0.00873,0.146,0.17,17.3,Low yield
2000_184,Quebec,Stevens,10,1.2,6.3,1.6,5.3,0.0152,0.00396,0.0141,0.233,0.0863,28.92,Low yield
2000_185,Quebec,Stevens,11,0.8,1.2,5.5,6.3,0.0247,0.00253,0.00804,0.101,0.173,16.79,Low yield
2000_186,Quebec,Stevens,9,1,6.2,1.4,4.8,0.0191,0.00339,0.0111,0.296,0.119,20.86,Low yield
2000_187,Quebec,Stevens,15,1.3,6.7,1.7,5,0.0105,0.00525,0.0159,0.155,0.0489,10.91,Low yield
2000_188,Quebec,Stevens,12,1,1.5,6.1,7.3,0.0218,0.00285,0.01,0.158,0.126,14.37,Low yield
2000_189,Quebec,Stevens,10,1,6.4,1.5,5,0.0146,0.00377,0.0119,0.238,0.0682,33.17,Low yield
2000_190,Quebec,Stevens,12,1.2,6.7,1.7,5.4,0.0104,0.00492,0.0155,0.149,0.0497,16.04,Low yield
2000_191,Quebec,Stevens,10,1.2,6.6,1.6,5.1,0.0086,0.00417,0.0145,0.106,0.0505,10.46,Low yield
2000_192,Quebec,Stevens,11,1.1,1.5,6,8.2,0.0282,0.00536,0.0143,0.142,0.17,22.11,Low yield
2000_193,Quebec,Stevens,10,1.1,6.9,1.5,6.6,0.0244,0.00304,0.0171,0.488,0.0837,29.41,Low yield
2000_194,Quebec,Stevens,11,1.3,6.2,1.7,5.6,0.0142,0.00389,0.0151,0.117,0.0657,14.7,Low yield
2000_195,Quebec,Stevens,11,1.3,1.7,6.8,8.3,0.0148,0.00252,0.0129,0.19,0.16,13.81,Low yield
2000_196,Quebec,Stevens,9,1.1,6.8,1.6,5.8,0.0115,0.00316,0.0147,0.304,0.0708,35.01,Low yield
2000_197,Quebec,Stevens,11,0.9,6.3,1.3,3.9,0.0072,0.00379,0.0126,0.0977,0.0402,12.93,Low yield
2000_198,Quebec,Stevens,12,1.3,1.7,6.3,9.3,0.0219,0.00273,0.0133,0.183,0.13,18.67,Low yield
2000_199,Quebec,Stevens,11,1.2,6.5,1.6,6.7,0.0198,0.00372,0.0163,0.48,0.0758,27.97,Low yield
2000_200,Quebec,Stevens,13,1,1.7,6.9,7.8,0.0107,0.00362,0.0123,0.132,0.155,19.65,Low yield
2000_201,Quebec,Stevens,10,1.4,8.4,2.1,7.8,0.0175,0.0047,0.0189,0.573,0.11,26.79,Low yield
2000_202,Quebec,Stevens,10,1.1,6,1.4,3.9,0.0096,0.00471,0.0563,0.0865,0.043,9.69,Low yield
2001_001,Quebec,Stevens,11,1.3,5.8,2,10.1,0.051,0.00424,0.0192,0.125,0.113,23.9,Low yield
2001_002,Quebec,Stevens,11,1.2,6.1,1.9,9.7,0.0462,0.00398,0.0187,0.136,0.128,28.17,Low yield
2001_003,Quebec,Stevens,11,1.4,6,1.9,9.2,0.0335,0.00392,0.0202,0.118,0.115,34.98,Low yield
2001_004,Quebec,Stevens,11,1.3,6.2,1.7,9.1,0.0406,0.00388,0.0184,0.12,0.133,27.85,Low yield
2001_005,Quebec,Stevens,11,1.4,6.1,2,10.4,0.0412,0.00422,0.021,0.158,0.11,35.8,Low yield
2001_006,Quebec,Stevens,11,1.3,6.7,1.7,9.1,0.0428,0.00428,0.0194,0.17,0.109,36.81,Low yield
2001_007,Quebec,Stevens,11,1.2,6,1.8,10.2,0.0544,0.00375,0.0204,0.209,0.0994,34.38,Low yield
2001_008,Quebec,Stevens,11,1.4,6.7,1.9,9.5,0.041,0.00447,0.0206,0.195,0.127,33.01,Low yield
2001_009,Quebec,Stevens,12,1.2,6,1.8,9.2,0.0527,0.00359,0.0191,0.2,0.103,41.73,High yield
2001_010,Quebec,Stevens,12,1.2,6.5,1.7,9.2,0.0467,0.00418,0.0183,0.169,0.111,43.05,High yield
2001_011,Quebec,Stevens,11,1.4,6,2,7.8,0.0404,0.00453,0.0231,0.392,0.0665,40,Low yield
2001_012,Quebec,Stevens,11,1.3,5.3,2.2,8.2,0.0398,0.00447,0.023,0.338,0.0542,35.85,Low yield
2001_013,Quebec,Stevens,10,1.3,5.8,2,7.8,0.0389,0.00431,0.0217,0.486,0.0629,33.51,Low yield
2001_014,Quebec,Stevens,11,1.2,5.5,1.9,8,0.0449,0.00571,0.0249,0.56,0.0591,40.03,High yield
2001_015,Quebec,Stevens,10,1.4,5.9,1.9,7.3,0.0368,0.00478,0.0207,0.684,0.0649,29.15,Low yield
2001_016,Quebec,Stevens,10,1.2,5.9,1.8,7.4,0.0353,0.00465,0.0212,0.638,0.0608,29.46,Low yield
2001_017,Quebec,Stevens,11,1.2,5.8,1.8,7.4,0.0343,0.00477,0.0216,0.716,0.0619,31.63,Low yield
2001_018,Quebec,Stevens,10,1.4,5.7,1.9,8.2,0.0345,0.00509,0.0228,0.787,0.0581,40.52,High yield
2001_019,Quebec,Stevens,10,1.3,6.2,1.7,7,0.0451,0.00459,0.022,0.587,0.0568,31.35,Low yield
2001_020,Quebec,Stevens,11,1.4,6.2,1.8,7.4,0.0432,0.00472,0.0227,0.622,0.0594,32.06,Low yield
2001_021,Quebec,Stevens,11,1.4,6.8,1.7,7.1,0.044,0.00439,0.0194,0.568,0.0866,29.72,Low yield
2001_022,Quebec,Stevens,11,1.3,6.2,1.7,7.5,0.0426,0.00448,0.0222,0.662,0.0644,38.33,Low yield
2001_023,Quebec,Stevens,12,1.2,5.6,1.8,11.6,0.0365,0.00677,0.0404,1.19,0.0865,33.95,Low yield
2001_024,Quebec,Stevens,12,1.1,5.2,1.7,11.7,0.0349,0.00514,0.0351,1.14,0.0885,31,Low yield
2001_025,Quebec,Stevens,12,1.2,5.6,1.7,11,0.0332,0.00514,0.0386,1.33,0.0812,37.49,Low yield
2001_026,Quebec,Stevens,11,1.1,5.5,1.6,11.3,0.0374,0.00481,0.0328,1.05,0.0724,48.29,High yield
2001_027,Quebec,Stevens,12,1,5.6,1.6,10.7,0.0339,0.00519,0.0339,0.994,0.0701,41.89,High yield
2001_028,Quebec,Stevens,11,1,5.7,1.6,12.3,0.042,0.00467,0.0304,0.792,0.0645,40.62,High yield
2001_029,Quebec,Stevens,12,1.1,5.4,1.6,12.3,0.0385,0.00468,0.0311,0.87,0.079,37.73,Low yield
2001_030,Quebec,Stevens,12,1.2,5.5,1.5,10.9,0.0347,0.00529,0.0344,1.26,0.0726,42.02,High yield
2001_031,Quebec,Stevens,12,1,5.3,1.5,11.4,0.0384,0.00453,0.0323,1.02,0.0701,39.43,Low yield
2001_032,Quebec,Stevens,12,1.1,5.4,1.7,11.2,0.0328,0.00451,0.0358,1.23,0.072,45.52,High yield
2001_033,Quebec,Stevens,11,1,5.2,1.6,10.7,0.0346,0.00471,0.0308,0.903,0.0697,36.76,Low yield
2001_034,Quebec,Stevens,10,1.1,5.4,1.7,7.6,0.0192,0.00321,0.0138,0.0894,0.232,33.79,Low yield
2001_035,Quebec,Stevens,11,1,5.6,1.6,8,0.0188,0.00316,0.0152,0.112,0.226,27.11,Low yield
