ID,Region,Cultivar,Leaf_N_stage2_g_kg,Leaf_P_stage2_g_kg,Leaf_K_stage2_g_kg,Leaf_Mg_stage2_g_kg,Leaf_Ca_stage2_g_kg,Leaf_B_stage2_g_kg,Leaf_Cu_stage2_g_kg,Leaf_Zn_stage2_g_kg,Leaf_Mn_stage2_g_kg,Leaf_Fe_stage2_g_kg,Fruit_yield_Mg_ha,Yield class
2014_066,Quebec,Stevens,9.3419,0.784,5.227,1.549,6.746,0.0554,0.002,0.009,0.163,0.09,45.26,High yield
2014_067,Quebec,Stevens,9.2893,0.803,5.396,1.588,7.446,0.0743,0.003,0.01,0.176,0.11,44.61,High yield
2014_068,Quebec,Stevens,10.571,0.897,5.711,1.737,7.725,0.0741,0.002,0.013,0.204,0.163,28,Low yield
2014_069,Quebec,Stevens,10.267,0.855,5.773,1.491,7.199,0.0787,0.003,0.009,0.185,0.106,54.61,High yield
2014_070,Quebec,Stevens,10.463,0.902,4.236,1.954,7.949,0.0497,0.003,0.009,0.184,0.08,25.96,Low yield
2014_071,Quebec,Stevens,8.9075,0.772,5.214,1.695,7.39,0.0669,0.002,0.011,0.179,0.111,48.29,High yield
2014_072,Quebec,Stevens,10.669,0.832,5.783,1.686,7.007,0.0768,0.002,0.011,0.231,0.151,26.04,Low yield
2014_073,Quebec,Stevens,6.8958,0.909,4.313,1.924,8.131,0.0391,0.003,0.025,0.184,0.101,25.55,Low yield
2014_074,Quebec,Stevens,8.6992,1.161,4.702,2.236,9.236,0.0496,0.003,0.025,0.186,0.095,33.64,Low yield
2014_075,Quebec,Stevens,8.3813,0.924,4.626,2.101,9.024,0.0533,0.002,0.024,0.251,0.139,41,High yield
2014_076,Quebec,Stevens,9.2094,1.057,4.496,2.251,9.405,0.0488,0.003,0.026,0.198,0.086,43.66,High yield
2014_077,Quebec,Stevens,9.68,0.926,4.815,2.074,9.674,0.0582,0.004,0.031,0.366,0.185,58.81,High yield
2014_078,Quebec,Stevens,9.8611,1.005,4.59,2.359,8.213,0.0587,0.004,0.031,0.414,0.112,39.32,Low yield
2014_079,Quebec,Stevens,10.17,0.919,4.714,2.075,10.274,0.0621,0.003,0.026,0.303,0.118,58.7,High yield
2014_080,Quebec,Stevens,11.026,1.025,4.993,2.156,8.983,0.0524,0.003,0.022,0.257,0.134,40.36,High yield
2014_081,Quebec,Stevens,11.083,0.955,4.95,2.1,9.128,0.0567,0.003,0.022,0.403,0.107,54.45,High yield
2014_082,Quebec,Stevens,11.121,0.976,4.842,2.058,9.936,0.0538,0.004,0.033,0.388,0.056,58.58,High yield
2014_083,Quebec,Stevens,11.048,0.955,5.741,2.029,8.559,0.0516,0.003,0.024,0.307,0.115,52.68,High yield
2014_084,Quebec,Stevens,10.469,0.866,4.736,1.939,9.04,0.0424,0.003,0.026,0.346,0.087,35.77,Low yield
2014_085,Quebec,Stevens,8.7879,0.859,4.485,1.74,9.091,0.049,0.003,0.026,0.289,0.14,45.57,High yield
2014_086,Quebec,Stevens,12.201,1.028,5.373,2.076,9.031,0.063,0.003,0.027,0.393,0.087,55.74,High yield
2014_087,Quebec,Stevens,11.632,1.103,5.402,2.288,10.014,0.0683,0.003,0.027,0.335,0.121,68.42,High yield
2014_088,Quebec,Stevens,11.575,1.084,5.249,2.097,9.17,0.0694,0.003,0.026,0.327,0.107,51.95,High yield
2014_089,Quebec,Stevens,10.107,0.962,4.026,2.303,10.354,0.0642,0.003,0.025,0.359,0.099,44.96,High yield
2014_090,Quebec,Stevens,10.494,1.005,4.511,2.37,9.832,0.0565,0.002,0.024,0.313,0.134,55.07,High yield
2014_091,Quebec,Stevens,10.845,1.033,5.205,2.174,9.126,0.0517,0.003,0.028,0.242,0.132,58.95,High yield
2014_092,Quebec,Stevens,10.775,0.965,4.703,2.115,9.145,0.0588,0.002,0.028,0.343,0.102,41.25,High yield
2014_093,Quebec,Stevens,12.182,1.033,5.865,2.128,8.411,0.084,0.003,0.022,0.306,0.1,59.28,High yield
2014_094,Quebec,Stevens,12.594,1.112,5.227,2.195,9.517,0.0553,0.003,0.025,0.456,0.071,37.85,Low yield
2014_095,Quebec,Stevens,10.979,1.011,5.259,2.109,9.62,0.0612,0.003,0.025,0.345,0.176,61.15,High yield
2014_096,Quebec,Stevens,11.627,1.093,5.255,2.313,8.696,0.0614,0.002,0.027,0.339,0.095,59.7,High yield
2014_097,Quebec,Stevens,11.356,0.971,5.031,2.1,9.222,0.0428,0.002,0.026,0.298,0.125,57.86,High yield
2014_098,Quebec,Stevens,11.004,0.998,4.603,2.234,8.911,0.0364,0.003,0.026,0.338,0.056,34.88,Low yield
2014_099,Quebec,Stevens,11.214,1.014,4.885,2.158,9.674,0.0793,0.004,0.025,0.346,0.181,57.59,High yield
2014_100,Quebec,Stevens,9.8546,0.948,4.84,2.003,8.59,0.0567,0.002,0.025,0.298,0.078,49.68,High yield
2014_101,Quebec,Stevens,11.219,1.006,4.858,2.182,10.057,0.0653,0.002,0.026,0.308,0.151,62.11,High yield
2014_102,Quebec,Stevens,11.037,1.006,4.956,1.95,9.025,0.0575,0.004,0.026,0.367,0.071,44.64,High yield
2014_103,Quebec,Stevens,10.929,0.897,4.661,1.878,8.892,0.0679,0.004,0.022,0.31,0.101,68.86,High yield
2014_104,Quebec,Stevens,11.131,0.951,4.79,2.021,8.965,0.058,0.002,0.024,0.33,0.099,60.41,High yield
2014_105,Quebec,Stevens,11.103,0.967,5.233,1.76,8.509,0.0682,0.004,0.023,0.287,0.091,64.08,High yield
2014_106,Quebec,Stevens,10.841,0.947,5.411,1.912,8.205,0.0574,0.003,0.024,0.35,0.143,52.45,High yield
2014_107,Quebec,Stevens,10.277,0.916,4.703,2.016,9.685,0.0649,0.004,0.028,0.29,0.174,55.57,High yield
2014_108,Quebec,Stevens,10.67,0.988,4.859,2.114,9.436,0.066,0.003,0.026,0.318,0.076,59.66,High yield
2014_109,Quebec,Stevens,6.9884,0.815,4.388,1.7,7.046,0.0606,0.003,0.016,0.1,0.081,42.36,High yield
2014_110,Quebec,Stevens,6.9262,0.981,4.723,1.892,7.943,0.041,0.002,0.013,0.099,0.099,37.01,Low yield
2014_111,Quebec,Stevens,10.043,0.788,4.395,1.879,9.142,0.059,0.002,0.016,0.139,0.096,50.81,High yield
2014_112,Quebec,Stevens,9.6521,0.878,4.34,1.977,8.852,0.0491,0.002,0.016,0.148,0.062,31.28,Low yield
2014_113,Quebec,Stevens,10.071,0.903,4.068,1.993,9.004,0.065,0.002,0.018,0.152,0.087,59.67,High yield
2014_114,Quebec,Stevens,9.9786,0.899,4.775,1.922,8.236,0.0505,0.002,0.016,0.163,0.064,37.18,Low yield
2014_115,Quebec,Stevens,9.7186,0.93,4.853,1.776,7.37,0.0512,0.002,0.012,0.144,0.104,65.02,High yield
2014_116,Quebec,Stevens,11.534,0.924,4.761,1.872,7.44,0.0539,0.002,0.015,0.165,0.099,39.44,Low yield
2014_117,Quebec,Stevens,11.914,0.898,4.923,1.768,8.039,0.0672,0.003,0.017,0.198,0.075,63.97,High yield
2014_118,Quebec,Stevens,11.931,0.966,4.969,1.949,8.038,0.0585,0.002,0.016,0.236,0.078,47.93,High yield
2014_119,Quebec,Stevens,11.145,0.848,4.715,1.978,8.116,0.0615,0.002,0.017,0.172,0.088,61.21,High yield
2014_120,Quebec,Stevens,9.6595,0.776,4.398,1.675,7.942,0.05,0.002,0.016,0.177,0.097,61.49,High yield
2014_121,Quebec,Stevens,10.332,0.975,5.422,2.084,8.683,0.0674,0.005,0.006,0.175,0.193,65.38,High yield
2014_122,Quebec,Stevens,11.048,1.134,5.545,2.366,8.647,0.0586,0.005,0.007,0.178,0.117,58,High yield
2014_123,Quebec,Stevens,10.856,1.115,5.301,2.219,9.19,0.0648,0.005,0.007,0.225,0.133,71.42,High yield
2014_124,Quebec,Stevens,12.028,1.082,5.531,2.136,8.02,0.0611,0.003,0.002,0.183,0.163,55.64,High yield
2014_125,Quebec,Stevens,10.801,0.977,4.393,2.29,9.17,0.0681,0.003,0.006,0.208,0.127,61.82,High yield
2014_126,Quebec,Stevens,11.195,1.045,4.464,2.244,9.17,0.0545,0.004,0.005,0.18,0.106,54.39,High yield
2014_127,Quebec,Stevens,9.6906,0.97,4.72,2.07,8.391,0.0637,0.003,0.005,0.154,0.112,64.26,High yield
2014_128,Quebec,Stevens,9.4515,1,4.426,2.131,8.058,0.0397,0.003,0.009,0.15,0.112,40.34,High yield
2014_129,Quebec,Stevens,9.5031,1.03,5.376,2.055,8.617,0.0603,0.003,0.013,0.172,0.123,65.68,High yield
2014_130,Quebec,Stevens,11.867,1.025,5.682,1.926,7.141,0.0509,0.002,0.004,0.196,0.09,40.66,High yield
2014_131,Quebec,Stevens,11.815,1.08,5.83,2.1,8.447,0.0726,0.003,0.005,0.249,0.326,56.98,High yield
2014_132,Quebec,Stevens,10.997,1.055,6.124,1.978,8.231,0.0578,0.003,0.005,0.195,0.103,60.18,High yield
2014_133,Quebec,Stevens,9.5422,1.023,4.735,2.255,8.223,0.0375,0.002,0.012,0.167,0.091,53.14,High yield
2014_134,Quebec,Stevens,11.089,0.98,5.048,2.137,8.691,0.0237,0.002,0.004,0.235,0.096,54.62,High yield
2014_135,Quebec,Stevens,10.254,1.036,5.239,2.29,9.061,0.0681,0.003,0.006,0.155,0.118,68.29,High yield
2014_136,Quebec,Stevens,10.599,1.087,5.39,2.213,8.53,0.0606,0.002,0.005,0.164,0.086,43.42,High yield
2014_137,Quebec,Stevens,11.257,1.03,5.448,2.046,8.513,0.0612,0.002,0.008,0.19,0.108,66.19,High yield
2014_138,Quebec,Stevens,10.682,1.034,4.957,2.078,8.1,0.0561,0.002,0.004,0.14,0.14,58.5,High yield
2014_139,Quebec,Stevens,11.314,1.016,5.361,1.96,7.698,0.0526,0.002,0.007,0.172,0.093,70.56,High yield
2014_140,Quebec,Stevens,11.154,1.085,5.814,2.056,7.723,0.0603,0.003,0.003,0.181,0.1,43.96,High yield
2014_141,Quebec,Stevens,9.9375,1.02,5.657,2.019,8.608,0.0767,0.002,0.005,0.192,0.106,60.28,High yield
2014_142,Quebec,Stevens,11.013,0.976,5.111,1.934,8.763,0.058,0.002,0.004,0.222,0.074,56.54,High yield
2014_143,Quebec,Stevens,10.713,1.01,5.016,2.233,8.56,0.0732,0.002,0.008,0.194,0.082,71.44,High yield
2014_144,Quebec,Stevens,10.838,1,5.088,2.05,8.388,0.062,0.002,0.003,0.161,0.076,51.71,High yield
2015_001,Quebec,Stevens,6.2479,0.814,4.126,1.532,5.185,0.1,0.001,0.081,0.2,0.113,10.22,Low yield
2015_002,Quebec,Stevens,6.825,0.848,3.865,1.707,5.036,0.07,0.001,0.082,0.169,0.074,9.74,Low yield
2015_003,Quebec,Stevens,8.3669,0.811,4.008,1.789,5.16,0.1,0.001,0.061,0.155,0.146,14.5,Low yield
2015_004,Quebec,Stevens,8.5251,0.827,3.966,1.798,4.834,0.08,0.001,0.083,0.169,0.054,13.03,Low yield
2015_005,Quebec,Stevens,9.0067,0.804,3.647,1.924,5.767,0.08,0.001,0.075,0.202,0.065,20.27,Low yield
2015_006,Quebec,Stevens,10.367,0.843,3.638,1.988,5.287,0.06,0.001,0.093,0.165,0.035,22.22,Low yield
2015_007,Quebec,Stevens,10.988,0.825,3.797,1.955,5.473,0.08,0.002,0.093,0.205,0.053,25.47,Low yield
