Leaf_Mn_stage2_g_kg,Leaf_Fe_stage2_g_kg,Leaf_N_stage2_g_kg,Leaf_P_stage2_g_kg,Leaf_K_stage2_g_kg,Leaf_Mg_stage2_g_kg,Leaf_Ca_stage2_g_kg,Leaf_B_stage2_g_kg,Leaf_Cu_stage2_g_kg,Leaf_Zn_stage2_g_kg,Region,Cultivar,Yield class,ID,Yield class(Random Forest)
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,Massachusetts Quebec Washington Wisconsin,BG Ben\ Lear Bergman Crimson\ Queen DeMoranville Early\ Black Grygleski\ Hybrid\ 1 Howes HyRed LeMunyon McFarlin Mullica\ Queen Pilgrim Ruby\ Star Searles Stevens Sundance Wilcox,High\ yield Low\ yield,string,High\ yield Low\ yield
,,,,,,,,,,,,class,meta,meta
0.169,0.099,8.9242,0.748,5.525,1.49,6.205,0.0598,0.002,0.013,Quebec,Stevens,High yield,2014_060,High yield
0.097,0.04,11.012,0.751,4.163,1.486,5.233,0.05,0.001,0.016,Quebec,Stevens,High yield,2015_137,High yield
0.115,0.047,11.0,1.0,5.0,2.0,10.0,0.024,0.004,0.017,Quebec,Stevens,High yield,2015_B_031,High yield
0.307,0.115,11.048,0.955,5.741,2.029,8.559,0.0516,0.003,0.024,Quebec,Stevens,High yield,2014_083,High yield
0.193683229,0.057249455,9.3038,1.096526106,6.305644845,1.662704293,6.963393303,0.113045814,0.00461596,0.015710865,Quebec,Stevens,High yield,2016_061,High yield
0.172,0.088,11.145,0.848,4.715,1.978,8.116,0.0615,0.002,0.017,Quebec,Stevens,High yield,2014_119,High yield
0.192,0.105,11.3,1.1,5.1,2.1,8.2,0.027,0.006,0.02,Quebec,Stevens,High yield,2014_B_079,High yield
0.159,0.129,9.1216,0.775,5.026,1.601,7.446,0.07,0.003,0.01,Quebec,Stevens,High yield,2014_043,High yield
0.416,0.0707,12.0,1.1,5.7,1.7,9.2,0.0252,0.00332,0.0229,Quebec,Stevens,High yield,2001_046,High yield
0.817,0.0594,12.0,1.3,4.7,2.2,10.6,0.0379,0.00395,0.16,Quebec,Stevens,High yield,2000_035,High yield
0.131,0.104,9.8856,0.747,4.428,1.382,5.148,0.06,0.003,0.011,Quebec,Stevens,High yield,2015_123,High yield
0.187,0.095,10.672,0.887,4.365,2.12,8.468,0.0495,0.002,0.015,Quebec,Stevens,High yield,2014_012,High yield
0.560611076,0.054237569,11.442,1.38479646,7.737839114,1.803349385,5.727276079,0.061073023,0.004927127,0.027069152,Quebec,Stevens,High yield,2016_081,High yield
0.0,0.0,9.9,1.0,5.0,2.0,8.0,0.0,0.0,0.0,Quebec,Stevens,High yield,2016_B_002,High yield
0.36008,0.04701,10.658,1.27723,6.51319,2.05412,7.70662,0.03842,0.00591,0.02655,Quebec,Stevens,High yield,2018_130,High yield
0.172,0.123,9.5031,1.03,5.376,2.055,8.617,0.0603,0.003,0.013,Quebec,Stevens,High yield,2014_129,High yield
0.2793,0.3453,9.4,1.9,7.5,2.5,11.5,0.0477,0.0022,0.0424,Wisconsin,Crimson Queen,High yield,AA_007,High yield
0.2953,0.05878,8.5847,1.12573,5.64477,1.91854,7.13759,0.02649,0.00437,0.02063,Quebec,Stevens,High yield,2018_064,High yield
0.154,0.112,9.6906,0.97,4.72,2.07,8.391,0.0637,0.003,0.005,Quebec,Stevens,High yield,2014_127,High yield
